prob.exceed,returnperiod,minrain,meanrain,maxrain
 0.100,10.000,67.933,68.689,69.807
 0.040,25.000,79.908,81.120,83.293
 0.020,50.000,96.118,98.889,101.256
 0.010,100.000,117.638,126.755,132.697
 0.004,250.000,145.667,157.139,169.487
 0.002,500.000,168.125,180.617,190.075
 0.001,1000.000,181.965,194.544,204.132
 0.000,2500.000,195.387,205.733,212.532
 0.000,5000.000,199.812,210.213,212.532
 0.000,10000.000,199.812,211.901,212.532
